seed,ntips,treeHeight,treeLength
1,42,37.58213062531413,762.744249381579
2,176,39.46854687068299,2708.6546621017183
3,66,38.05056694304481,933.9767238189334
4,114,39.22565590341883,1694.2935340017327
5,54,31.370772771966784,737.2005651504026
6,39,32.73195561331497,636.1126761430231
7,76,39.5624944510861,1198.1369567997544
8,35,37.72828718969149,652.0589529112403
9,102,33.120259142473174,1512.316560958675
10,87,37.96212877043466,1352.447901330675
11,102,39.06775109694207,1587.479759458101
12,170,38.614890771986076,2600.3974941969464
13,40,36.65101370620019,643.0586553787354
14,151,38.037756848298734,2164.383230185521
15,101,39.59305893747926,1510.3168001961562
16,30,29.036051075151384,462.18520835612264
17,22,36.35412486394715,366.3356624726395
18,78,39.796057281771034,1240.7660130558158
19,30,34.53720130180706,471.5630809993031
20,158,36.5388492620772,2345.50610664742
21,69,35.83050669836354,1133.4990477195543
22,327,37.973923662498436,4891.205098686041
23,22,37.145592133859424,319.2509208880035
24,247,39.07290757679618,3805.639848456429
25,28,35.433262307861426,486.03218714589724
