setting,tree,runtime,chainLength,nSamples,runtime_min,runtime_chain,runtime_conv,nCells,converged,seed,method
baseline_large,tree_s,6h31m4s/Msamples,40955000,22590000,391.066666666667,266.935588888889,147.2366,1024,TRUE,1,TiDe
baseline_large,tree_s,8h6m38s/Msamples,46325000,18625000,486.633333333333,375.721486111111,151.059097222222,1024,TRUE,2,TiDe
baseline_large,tree_s,7h4m36s/Msamples,65570000,47050000,424.6,464.017033333333,332.957166666667,1024,TRUE,3,TiDe
baseline_large,tree_s,6h37m54s/Msamples,50320000,39525000,397.9,333.705466666667,262.116625,1024,TRUE,4,TiDe
baseline_large,tree_s,7h10m31s/Msamples,63435000,90064733.8354759,430.516666666667,455.163745833333,646.239483251161,1024,FALSE,5,TiDe
baseline_large,tree_s,7h4m7s/Msamples,46185000,31610000,424.116666666667,326.463804166667,223.438797222222,1024,TRUE,6,TiDe
baseline_large,tree_s,6h49m49s/Msamples,64130000,56405000,409.816666666667,438.025713888889,385.261818055556,1024,TRUE,7,TiDe
baseline_large,tree_s,6h51m55s/Msamples,51030000,37095000,411.916666666667,350.335125,254.667479166667,1024,TRUE,8,TiDe
baseline_large,tree_s,6h55m58s/Msamples,50780000,45570000,415.966666666667,352.046455555556,315.926683333333,1024,TRUE,9,TiDe
baseline_large,tree_s,7h20m48s/Msamples,64435000,55435000,440.8,473.382466666667,407.262466666667,1024,TRUE,10,TiDe
baseline_large,tree_s,6h53m30s/Msamples,49625000,37455000,413.5,341.998958333333,258.127375,1024,TRUE,11,TiDe
baseline_large,tree_s,7h1m49s/Msamples,40610000,24055000,421.816666666667,285.499580555556,169.113331944444,1024,TRUE,12,TiDe
baseline_large,tree_s,7h18m28s/Msamples,38245000,20820000,438.466666666667,279.485961111111,152.147933333333,1024,TRUE,13,TiDe
baseline_large,tree_s,7h58m53s/Msamples,61500000,123683221.138928,478.883333333333,490.855416666667,987.163886940231,1024,FALSE,14,TiDe
baseline_large,tree_s,7h35m23s/Msamples,44115000,20405000,455.383333333333,334.820595833333,154.868281944444,1024,TRUE,15,TiDe
baseline_large,tree_s,7h10m34s/Msamples,45700000,28565000,430.566666666667,327.948277777778,204.985613888889,1024,TRUE,16,TiDe
baseline_large,tree_s,7h9m24s/Msamples,47385000,27730000,429.4,339.11865,198.454366666667,1024,TRUE,17,TiDe
baseline_large,tree_s,7h19m16s/Msamples,39255000,14920000,439.266666666667,287.390216666667,109.230977777778,1024,TRUE,18,TiDe
baseline_large,tree_s,7h6m35s/Msamples,48015000,38295000,426.583333333333,341.3733125,272.2668125,1024,TRUE,19,TiDe
baseline_large,tree_s,7h21m49s/Msamples,46770000,27670000,441.816666666667,344.396091666667,203.751119444444,1024,TRUE,20,TiDe
baseline_large,tree_ss,5h47m48s/Msamples,47845000,16780000,347.8,277.341516666667,97.2680666666667,819,TRUE,1,TiDe
baseline_large,tree_ss,5h49m41s/Msamples,80355000,68030000,349.683333333333,468.313404166667,396.482619444444,819,TRUE,2,TiDe
baseline_large,tree_ss,5h56m35s/Msamples,77685000,68760000,356.583333333333,461.686270833333,408.6445,819,TRUE,3,TiDe
baseline_large,tree_ss,6h52m10s/Msamples,45045000,12500000,412.166666666667,309.434125,85.8680555555556,819,TRUE,4,TiDe
baseline_large,tree_ss,5h40m49s/Msamples,75585000,147416230.167431,340.816666666667,429.343795833333,837.365136303834,819,FALSE,5,TiDe
baseline_large,tree_ss,5h49m56s/Msamples,74555000,48950000,349.933333333333,434.821327777778,285.487277777778,819,TRUE,6,TiDe
baseline_large,tree_ss,5h46m10s/Msamples,76110000,38105000,346.166666666667,439.112416666667,219.844680555556,819,TRUE,7,TiDe
baseline_large,tree_ss,6h33m16s/Msamples,74635000,113261084.907293,393.266666666667,489.190961111111,742.363488742359,819,FALSE,8,TiDe
baseline_large,tree_ss,6h42m2s/Msamples,57565000,23250000,402.033333333333,385.717480555556,155.787916666667,819,TRUE,9,TiDe
baseline_large,tree_ss,6h39m3s/Msamples,57150000,37710000,399.05,380.095125,250.802925,819,TRUE,10,TiDe
baseline_large,tree_ss,7h21m25s/Msamples,45935000,24585000,441.416666666667,337.941243055556,180.870479166667,819,TRUE,11,TiDe
baseline_large,tree_ss,6h42m33s/Msamples,54585000,42950000,402.55,366.2198625,288.158708333333,819,TRUE,12,TiDe
baseline_large,tree_ss,6h46m40s/Msamples,49740000,19965000,406.666666666667,337.126666666667,135.318333333333,819,TRUE,13,TiDe
