tree,nDiv,deathProb,rho,nCells,treeLength,treeHeight,birthRate,deathRate
tree_s_1,10,0,1,1024,7440.00000000026,36.3636363636364,0.173286795139986,0
tree_s_2,10,0,1,1024,7440.00000000026,36.3636363636364,0.173286795139986,0
tree_s_3,10,0,1,1024,7440.00000000026,36.3636363636364,0.173286795139986,0
tree_s_4,10,0,1,1024,7440.00000000026,36.3636363636364,0.173286795139986,0
tree_s_5,10,0,1,1024,7440.00000000026,36.3636363636364,0.173286795139986,0
tree_s_6,10,0,1,1024,7440.00000000026,36.3636363636364,0.173286795139986,0
tree_s_7,10,0,1,1024,7440.00000000026,36.3636363636364,0.173286795139986,0
tree_s_8,10,0,1,1024,7440.00000000026,36.3636363636364,0.173286795139986,0
tree_s_9,10,0,1,1024,7440.00000000026,36.3636363636364,0.173286795139986,0
tree_s_10,10,0,1,1024,7440.00000000026,36.3636363636364,0.173286795139986,0
tree_s_11,10,0,1,1024,7440.00000000026,36.3636363636364,0.173286795139986,0
tree_s_12,10,0,1,1024,7440.00000000026,36.3636363636364,0.173286795139986,0
tree_s_13,10,0,1,1024,7440.00000000026,36.3636363636364,0.173286795139986,0
tree_s_14,10,0,1,1024,7440.00000000026,36.3636363636364,0.173286795139986,0
tree_s_15,10,0,1,1024,7440.00000000026,36.3636363636364,0.173286795139986,0
tree_s_16,10,0,1,1024,7440.00000000026,36.3636363636364,0.173286795139986,0
tree_s_17,10,0,1,1024,7440.00000000026,36.3636363636364,0.173286795139986,0
tree_s_18,10,0,1,1024,7440.00000000026,36.3636363636364,0.173286795139986,0
tree_s_19,10,0,1,1024,7440.00000000026,36.3636363636364,0.173286795139986,0
tree_s_20,10,0,1,1024,7440.00000000026,36.3636363636364,0.173286795139986,0
tree_ss_1,13,0,0.1,819,10954.2857142858,37.1428571428571,0.225272833681982,0
tree_ss_2,13,0,0.1,819,10931.4285714287,37.1428571428571,0.225272833681982,0
tree_ss_3,13,0,0.1,819,10937.1428571429,37.1428571428571,0.225272833681982,0
tree_ss_4,13,0,0.1,819,10960.0000000001,37.1428571428571,0.225272833681982,0
tree_ss_5,13,0,0.1,819,10834.2857142858,37.1428571428571,0.225272833681982,0
tree_ss_6,13,0,0.1,819,10865.7142857144,37.1428571428571,0.225272833681982,0
tree_ss_7,13,0,0.1,819,10905.7142857144,37.1428571428571,0.225272833681982,0
tree_ss_8,13,0,0.1,819,10802.8571428573,37.1428571428571,0.225272833681982,0
tree_ss_9,13,0,0.1,819,10874.2857142858,37.1428571428571,0.225272833681982,0
tree_ss_10,13,0,0.1,819,10851.4285714287,37.1428571428571,0.225272833681982,0
tree_ss_11,13,0,0.1,819,10820.0000000001,37.1428571428571,0.225272833681982,0
tree_ss_12,13,0,0.1,819,10877.142857143,37.1428571428571,0.225272833681982,0
tree_ss_13,13,0,0.1,819,10877.1428571429,37.1428571428571,0.225272833681982,0
tree_ss_14,13,0,0.1,819,10960.0000000001,37.1428571428571,0.225272833681982,0
tree_ss_15,13,0,0.1,819,10891.4285714286,37.1428571428571,0.225272833681982,0
tree_ss_16,13,0,0.1,819,10857.142857143,37.1428571428571,0.225272833681982,0
tree_ss_17,13,0,0.1,819,10800.0000000001,37.1428571428571,0.225272833681982,0
tree_ss_18,13,0,0.1,819,10774.2857142858,37.1428571428571,0.225272833681982,0
tree_ss_19,13,0,0.1,819,10960.0000000001,37.1428571428571,0.225272833681982,0
tree_ss_20,13,0,0.1,819,10754.2857142858,37.1428571428571,0.225272833681982,0
tree_sd_1,13,0.15,1,1439,9931.42857142883,37.1428571428571,0.191481908629685,0.0337909250522973
tree_sd_2,13,0.15,1,1597,11005.7142857146,37.1428571428571,0.191481908629685,0.0337909250522973
tree_sd_3,13,0.15,1,1476,10048.5714285717,37.1428571428571,0.191481908629685,0.0337909250522973
tree_sd_4,13,0.15,1,1570,10717.1428571432,37.1428571428571,0.191481908629685,0.0337909250522973
tree_sd_5,13,0.15,1,601,4119.99999999992,37.1428571428571,0.191481908629685,0.0337909250522973
tree_sd_6,13,0.15,1,543,3745.71428571422,37.1428571428571,0.191481908629685,0.0337909250522973
tree_sd_7,13,0.15,1,1101,7454.2857142858,34.2857142857143,0.191481908629685,0.0337909250522973
tree_sd_8,13,0.15,1,1668,11474.2857142861,37.1428571428571,0.191481908629685,0.0337909250522973
tree_sd_9,13,0.15,1,1007,6862.85714285719,34.2857142857143,0.191481908629685,0.0337909250522973
tree_sd_10,13,0.15,1,936,6448.57142857143,34.2857142857143,0.191481908629685,0.0337909250522973
tree_sd_11,13,0.15,1,1654,11134.2857142861,37.1428571428571,0.191481908629685,0.0337909250522973
tree_sd_12,13,0.15,1,845,5674.28571428571,37.1428571428571,0.191481908629685,0.0337909250522973
tree_sd_13,13,0.15,1,1641,11345.7142857147,37.1428571428571,0.191481908629685,0.0337909250522973
tree_sd_14,13,0.15,1,716,4974.28571428567,37.1428571428571,0.191481908629685,0.0337909250522973
tree_sd_15,13,0.15,1,1466,10002.8571428574,37.1428571428571,0.191481908629685,0.0337909250522973
tree_sd_16,13,0.15,1,367,2479.99999999999,31.4285714285714,0.191481908629685,0.0337909250522973
tree_sd_17,13,0.15,1,656,4565.71428571422,37.1428571428571,0.191481908629685,0.0337909250522973
tree_sd_18,13,0.15,1,475,3328.57142857138,34.2857142857143,0.191481908629685,0.0337909250522973
tree_sd_19,13,0.15,1,551,3805.71428571422,34.2857142857143,0.191481908629685,0.0337909250522973
tree_sd_20,13,0.15,1,475,3268.57142857139,34.2857142857143,0.191481908629685,0.0337909250522973
tree_sds_1,16,0.12,0.1,1160,14957.6470588234,37.6470588235294,0.243987807557101,0.0332710646668774
tree_sds_2,16,0.12,0.1,1097,13894.1176470587,37.6470588235294,0.243987807557101,0.0332710646668774
tree_sds_3,16,0.12,0.1,924,11811.7647058823,37.6470588235294,0.243987807557101,0.0332710646668774
tree_sds_4,16,0.12,0.1,1139,14543.5294117646,37.6470588235294,0.243987807557101,0.0332710646668774
tree_sds_5,16,0.12,0.1,804,10385.8823529411,37.6470588235294,0.243987807557101,0.0332710646668774
tree_sds_6,16,0.12,0.1,673,8687.05882352934,37.6470588235294,0.243987807557101,0.0332710646668774
tree_sds_7,16,0.12,0.1,882,11334.1176470587,35.2941176470588,0.243987807557101,0.0332710646668774
tree_sds_8,16,0.12,0.1,1102,14159.9999999999,37.6470588235294,0.243987807557101,0.0332710646668774
tree_sds_9,16,0.12,0.1,644,8122.35294117641,35.2941176470588,0.243987807557101,0.0332710646668774
tree_sds_10,16,0.12,0.1,799,10338.8235294117,37.6470588235294,0.243987807557101,0.0332710646668774
